DateTime,Source,Air Temp,Humidity,Soil Moisture
"April 8, 2021 at 02:44PM",Garden_Data2,34.7,19,787
"April 8, 2021 at 02:59PM",Garden_Data2,31.8,23,787
"April 8, 2021 at 03:13PM",Garden_Data2,31.4,24,787
"April 8, 2021 at 03:28PM",Garden_Data2,29.3,25,787
"April 8, 2021 at 03:42PM",Garden_Data2,29,27,787
"April 8, 2021 at 03:57PM",Garden_Data2,29.2,27,786
"April 8, 2021 at 04:12PM",Garden_Data2,29.8,27,787
"April 8, 2021 at 04:26PM",Garden_Data2,31,26,787
"April 8, 2021 at 04:41PM",Garden_Data2,29.9,27,786
"April 8, 2021 at 04:55PM",Garden_Data2,28.8,29,786
"April 8, 2021 at 05:10PM",Garden_Data2,28.5,30,786
"April 8, 2021 at 05:24PM",Garden_Data2,28.5,30,786
"April 8, 2021 at 05:38PM",Garden_Data2,27.6,30,784
"April 8, 2021 at 05:53PM",Garden_Data2,25.7,32,782
"April 8, 2021 at 06:07PM",Garden_Data2,24.2,34,782
"April 8, 2021 at 06:22PM",Garden_Data2,23.8,35,781
"April 8, 2021 at 06:36PM",Garden_Data2,23.5,36,778
"April 8, 2021 at 06:51PM",Garden_Data2,23.9,36,778
"April 8, 2021 at 07:06PM",Garden_Data2,24.2,36,777
"April 8, 2021 at 07:20PM",Garden_Data2,24.3,37,777
"April 8, 2021 at 07:35PM",Garden_Data2,24.4,37,777
"April 8, 2021 at 07:49PM",Garden_Data2,24.4,37,776
"April 8, 2021 at 08:04PM",Garden_Data2,24.4,38,776
"April 8, 2021 at 08:19PM",Garden_Data2,24.4,38,775
"April 8, 2021 at 08:33PM",Garden_Data2,24.4,38,775
"April 8, 2021 at 08:48PM",Garden_Data2,24.4,38,775
"April 8, 2021 at 09:03PM",Garden_Data2,24.4,39,775
"April 8, 2021 at 09:17PM",Garden_Data2,24.4,39,775
"April 8, 2021 at 09:31PM",Garden_Data2,24.3,40,774
"April 8, 2021 at 09:46PM",Garden_Data2,24.2,41,774
"April 8, 2021 at 10:01PM",Garden_Data2,24.2,41,774
"April 8, 2021 at 10:15PM",Garden_Data2,24.1,42,774
"April 8, 2021 at 10:17PM",Garden_Data2,24.1,42,765
"April 8, 2021 at 10:31PM",Garden_Data2,24,45,774
