Time,Source,Soil Temp,Light
"April 9, 2021 at 01:29PM",Garden_Data,21.31,193
"April 9, 2021 at 01:43PM",Garden_Data,21.44,164
"April 9, 2021 at 01:58PM",Garden_Data,21.56,166
"April 9, 2021 at 02:12PM",Garden_Data,21.69,148
"April 9, 2021 at 02:27PM",Garden_Data,21.81,186
"April 9, 2021 at 02:41PM",Garden_Data,21.94,151
"April 9, 2021 at 02:56PM",Garden_Data,22.06,199
"April 9, 2021 at 03:10PM",Garden_Data,22.13,170
"April 9, 2021 at 03:25PM",Garden_Data,22.25,771
"April 9, 2021 at 03:39PM",Garden_Data,22.25,667
"April 9, 2021 at 03:54PM",Garden_Data,22.13,166
"April 9, 2021 at 04:08PM",Garden_Data,22.06,112
"April 9, 2021 at 04:23PM",Garden_Data,21.94,110
"April 9, 2021 at 04:37PM",Garden_Data,21.88,100
"April 9, 2021 at 04:52PM",Garden_Data,21.75,106
"April 9, 2021 at 05:06PM",Garden_Data,21.63,109
"April 9, 2021 at 05:21PM",Garden_Data,21.5,75
"April 9, 2021 at 05:35PM",Garden_Data,21.38,69
"April 9, 2021 at 05:49PM",Garden_Data,21.31,84
"April 9, 2021 at 06:04PM",Garden_Data,21.19,84
"April 9, 2021 at 06:18PM",Garden_Data,21.19,62
"April 9, 2021 at 06:33PM",Garden_Data,21.25,43
"April 9, 2021 at 06:47PM",Garden_Data,21.31,57
"April 9, 2021 at 07:02PM",Garden_Data,21.38,22
"April 9, 2021 at 07:16PM",Garden_Data,21.38,8
"April 9, 2021 at 07:31PM",Garden_Data,21.38,1
"April 9, 2021 at 07:45PM",Garden_Data,21.38,0
"April 9, 2021 at 07:59PM",Garden_Data,21.38,0
"April 9, 2021 at 08:14PM",Garden_Data,21.38,0
"April 9, 2021 at 08:28PM",Garden_Data,21.38,0
"April 9, 2021 at 08:43PM",Garden_Data,21.38,0
"April 9, 2021 at 08:57PM",Garden_Data,21.38,0
"April 9, 2021 at 09:12PM",Garden_Data,21.38,0
"April 9, 2021 at 09:26PM",Garden_Data,21.31,0
"April 9, 2021 at 09:41PM",Garden_Data,21.25,0
"April 9, 2021 at 09:55PM",Garden_Data,21.19,0
"April 9, 2021 at 10:10PM",Garden_Data,21.13,0
"April 9, 2021 at 10:24PM",Garden_Data,21.06,0
"April 9, 2021 at 10:39PM",Garden_Data,21,0
"April 9, 2021 at 10:53PM",Garden_Data,20.88,0
"April 9, 2021 at 11:08PM",Garden_Data,20.81,0
"April 9, 2021 at 11:22PM",Garden_Data,20.75,0
"April 9, 2021 at 11:36PM",Garden_Data,20.75,0
"April 9, 2021 at 11:51PM",Garden_Data,20.69,0
"April 10, 2021 at 12:05AM",Garden_Data,20.63,0
"April 10, 2021 at 12:20AM",Garden_Data,20.5,0
"April 10, 2021 at 12:34AM",Garden_Data,20.44,0
"April 10, 2021 at 12:49AM",Garden_Data,20.38,0
"April 10, 2021 at 01:03AM",Garden_Data,20.31,0
"April 10, 2021 at 01:18AM",Garden_Data,20.25,0
"April 10, 2021 at 01:32AM",Garden_Data,20.19,0
"April 10, 2021 at 01:47AM",Garden_Data,20.13,0
"April 10, 2021 at 02:01AM",Garden_Data,20,0
"April 10, 2021 at 02:16AM",Garden_Data,19.94,0
"April 10, 2021 at 02:30AM",Garden_Data,19.88,0
"April 10, 2021 at 02:45AM",Garden_Data,19.81,0
"April 10, 2021 at 02:59AM",Garden_Data,19.75,0
"April 10, 2021 at 03:14AM",Garden_Data,19.69,0
"April 10, 2021 at 03:28AM",Garden_Data,19.63,0
"April 10, 2021 at 03:43AM",Garden_Data,19.56,0
"April 10, 2021 at 03:57AM",Garden_Data,19.5,0
"April 10, 2021 at 04:12AM",Garden_Data,19.44,0
"April 10, 2021 at 04:26AM",Garden_Data,19.38,0
"April 10, 2021 at 04:40AM",Garden_Data,19.31,0
"April 10, 2021 at 04:55AM",Garden_Data,19.25,0
"April 10, 2021 at 05:09AM",Garden_Data,19.19,0
"April 10, 2021 at 05:24AM",Garden_Data,19.13,0
"April 10, 2021 at 05:38AM",Garden_Data,19.06,0
"April 10, 2021 at 05:53AM",Garden_Data,19,0
"April 10, 2021 at 06:07AM",Garden_Data,18.94,0
"April 10, 2021 at 06:22AM",Garden_Data,18.88,0
"April 10, 2021 at 06:36AM",Garden_Data,18.81,0
"April 10, 2021 at 06:51AM",Garden_Data,18.75,2
"April 10, 2021 at 07:05AM",Garden_Data,18.75,8
"April 10, 2021 at 07:20AM",Garden_Data,18.69,12
"April 10, 2021 at 07:34AM",Garden_Data,18.63,21
"April 10, 2021 at 07:48AM",Garden_Data,18.63,31
"April 10, 2021 at 08:03AM",Garden_Data,18.56,41
"April 10, 2021 at 08:17AM",Garden_Data,18.56,46
"April 10, 2021 at 08:32AM",Garden_Data,18.56,51
"April 10, 2021 at 08:46AM",Garden_Data,18.5,48
"April 10, 2021 at 09:01AM",Garden_Data,18.5,61
"April 10, 2021 at 09:15AM",Garden_Data,18.56,79
"April 10, 2021 at 09:30AM",Garden_Data,18.56,86
"April 10, 2021 at 09:44AM",Garden_Data,18.69,80
"April 10, 2021 at 09:59AM",Garden_Data,18.75,72
"April 10, 2021 at 10:13AM",Garden_Data,18.81,69
"April 10, 2021 at 10:28AM",Garden_Data,18.81,81
"April 10, 2021 at 10:42AM",Garden_Data,18.88,93
"April 10, 2021 at 10:57AM",Garden_Data,19,98
"April 10, 2021 at 11:11AM",Garden_Data,19.06,103
"April 10, 2021 at 11:26AM",Garden_Data,19.13,124
"April 10, 2021 at 11:40AM",Garden_Data,19.25,138
"April 10, 2021 at 11:55AM",Garden_Data,19.31,133
"April 10, 2021 at 12:09PM",Garden_Data,19.44,42
"April 10, 2021 at 12:24PM",Garden_Data,19.5,104
"April 10, 2021 at 12:38PM",Garden_Data,19.56,197
"April 10, 2021 at 12:53PM",Garden_Data,19.69,185
"April 10, 2021 at 01:07PM",Garden_Data,19.81,201
"April 10, 2021 at 01:22PM",Garden_Data,20,202
"April 10, 2021 at 01:36PM",Garden_Data,20.13,208
"April 10, 2021 at 01:51PM",Garden_Data,20.25,237
"April 10, 2021 at 02:05PM",Garden_Data,20.44,134
"April 10, 2021 at 02:20PM",Garden_Data,20.56,111
"April 10, 2021 at 02:34PM",Garden_Data,20.75,210
"April 10, 2021 at 02:49PM",Garden_Data,20.88,243
"April 10, 2021 at 03:03PM",Garden_Data,21,111
"April 10, 2021 at 03:18PM",Garden_Data,21.13,156
"April 10, 2021 at 03:32PM",Garden_Data,21.25,127
"April 10, 2021 at 03:46PM",Garden_Data,21.31,51
"April 10, 2021 at 04:01PM",Garden_Data,21.38,68
"April 10, 2021 at 04:15PM",Garden_Data,21.44,40
"April 10, 2021 at 04:30PM",Garden_Data,21.44,62
"April 10, 2021 at 04:44PM",Garden_Data,21.5,45
"April 10, 2021 at 04:59PM",Garden_Data,21.5,48
"April 10, 2021 at 05:13PM",Garden_Data,21.5,72
"April 10, 2021 at 05:28PM",Garden_Data,21.5,46
"April 10, 2021 at 05:42PM",Garden_Data,21.5,30
"April 10, 2021 at 05:57PM",Garden_Data,21.56,24
"April 10, 2021 at 06:11PM",Garden_Data,21.5,16
"April 10, 2021 at 06:25PM",Garden_Data,21.56,28
"April 10, 2021 at 06:40PM",Garden_Data,21.56,41
"April 10, 2021 at 06:54PM",Garden_Data,21.56,41
"April 10, 2021 at 07:09PM",Garden_Data,21.56,12
"April 10, 2021 at 07:23PM",Garden_Data,21.5,6
"April 10, 2021 at 07:38PM",Garden_Data,21.5,1
"April 10, 2021 at 07:52PM",Garden_Data,21.44,0
"April 10, 2021 at 08:07PM",Garden_Data,21.38,0
"April 10, 2021 at 08:21PM",Garden_Data,21.31,0
"April 10, 2021 at 08:36PM",Garden_Data,21.31,0
"April 10, 2021 at 08:50PM",Garden_Data,21.25,0
"April 10, 2021 at 09:05PM",Garden_Data,21.19,0
"April 10, 2021 at 09:19PM",Garden_Data,21.13,0
"April 10, 2021 at 09:34PM",Garden_Data,21.13,0
"April 10, 2021 at 09:40PM",Garden_Data,21.06,1
"April 10, 2021 at 09:55PM",Garden_Data,21.06,1
"April 10, 2021 at 10:09PM",Garden_Data,21,1
"April 10, 2021 at 10:23PM",Garden_Data,21,1
"April 10, 2021 at 10:38PM",Garden_Data,20.94,2
"April 10, 2021 at 10:52PM",Garden_Data,20.94,2
"April 10, 2021 at 11:07PM",Garden_Data,20.94,1
"April 10, 2021 at 11:21PM",Garden_Data,20.88,2
"April 10, 2021 at 11:36PM",Garden_Data,20.88,2
"April 10, 2021 at 11:50PM",Garden_Data,20.88,2
"April 11, 2021 at 12:05AM",Garden_Data,20.88,0
"April 11, 2021 at 12:19AM",Garden_Data,20.81,0
"April 11, 2021 at 12:34AM",Garden_Data,20.75,0
"April 11, 2021 at 12:48AM",Garden_Data,20.75,0
"April 11, 2021 at 01:03AM",Garden_Data,20.69,0
"April 11, 2021 at 01:17AM",Garden_Data,20.63,0
"April 11, 2021 at 01:32AM",Garden_Data,20.56,0
"April 11, 2021 at 01:46AM",Garden_Data,20.5,0
"April 11, 2021 at 02:01AM",Garden_Data,20.44,0
"April 11, 2021 at 02:15AM",Garden_Data,20.44,0
"April 11, 2021 at 02:30AM",Garden_Data,20.38,0
"April 11, 2021 at 02:44AM",Garden_Data,20.31,0
